# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   54       2.021277769192e-10       2.032398492177e-14      -3.574871250293e-14       0.000000000000e+00       4.488356101951e-11       4.940821115716e-12      -8.816861005748e-15 
   55       2.049378108255e-10       2.151931935977e-14      -6.781933816180e-14       0.000000000000e+00       4.308706115880e-11       4.760972220351e-12      -9.211712379878e-15 
   56       2.077719078643e-10       2.275403316480e-14      -1.016876898150e-13       0.000000000000e+00       4.139130951135e-11       4.591190155091e-12      -9.679377240211e-15 
   57       2.106326091781e-10       2.402832822890e-14      -1.374002214312e-13       0.000000000000e+00       3.978878053246e-11       4.430797969463e-12      -1.015590653488e-14 
   58       2.135215192448e-10       2.534238702717e-14      -1.750067161359e-13       0.000000000000e+00       3.826820570575e-11       4.278749281006e-12      -1.056765901200e-14 
   59       2.164396180106e-10       2.669625538426e-14      -2.145461075802e-13       0.000000000000e+00       3.681767549318e-11       4.133912947079e-12      -1.084878960656e-14 
   60       2.193884575534e-10       2.808945849180e-14      -2.559996028835e-13       0.000000000000e+00       3.543527134792e-11       3.996052637502e-12      -1.099942882593e-14 
   61       2.223691071536e-10       2.952129594136e-14      -2.993270401516e-13       0.000000000000e+00       3.412052978398e-11       3.865037521572e-12      -1.104028228726e-14 
   62       2.253817254559e-10       3.099094764429e-14      -3.444800642764e-13       0.000000000000e+00       3.287124492305e-11       3.740545608664e-12      -1.099607835094e-14 
   63       2.284254963467e-10       3.249747006609e-14      -3.914018573360e-13       0.000000000000e+00       3.168336735830e-11       3.622052827895e-12      -1.089574764979e-14 
   64       2.314985648310e-10       3.403979246061e-14      -4.400268689962e-13       0.000000000000e+00       3.055090301807e-11       3.508822107791e-12      -1.077260261824e-14 
   65       2.345989538051e-10       3.561683689261e-14      -4.902950442034e-13       0.000000000000e+00       2.946756726495e-11       3.400104930165e-12      -1.065701817318e-14 
   66       2.377276840744e-10       3.722791630770e-14      -5.421986140268e-13       0.000000000000e+00       2.843238152331e-11       3.295820133770e-12      -1.055226882757e-14 
   67       2.408862024278e-10       3.887241428425e-14      -5.957447616537e-13       0.000000000000e+00       2.744508463238e-11       3.195999773177e-12      -1.045388010060e-14 
   68       2.440754230471e-10       4.054966838667e-14      -6.509421328810e-13       0.000000000000e+00       2.650443113174e-11       3.100584445732e-12      -1.035664615755e-14 
   69       2.472956908212e-10       4.225896986226e-14      -7.078009720357e-13       0.000000000000e+00       2.560813922262e-11       3.009418314560e-12      -1.025459958100e-14 
   70       2.505467446608e-10       4.399956333817e-14      -7.663332578938e-13       0.000000000000e+00       2.475283872904e-11       2.922244131566e-12      -1.014098114203e-14 
   71       2.538276808128e-10       4.577064651822e-14      -8.265528396003e-13       0.000000000000e+00       2.393401905910e-11       2.838698260431e-12      -1.000820957144e-14 
   72       2.571375373335e-10       4.757133102786e-14      -8.884663265398e-13       0.000000000000e+00       2.314718940678e-11       2.758408176567e-12      -9.850185059989e-15 
   73       2.604772589135e-10       4.940051692110e-14      -9.520434314322e-13       0.000000000000e+00       2.239173282178e-11       2.681317693608e-12      -9.669778823330e-15 
   74       2.638480446605e-10       5.125699342531e-14      -1.017241153719e-12       0.000000000000e+00       2.166770133034e-11       2.607415460565e-12      -9.472733223939e-15 
   75       2.672507382361e-10       5.313947448890e-14      -1.084012447322e-12       0.000000000000e+00       2.097464529552e-11       2.536635423716e-12      -9.265478082261e-15 
   76       2.706858053527e-10       5.504659759125e-14      -1.152306145463e-12       0.000000000000e+00       2.031158905508e-11       2.468854189263e-12      -9.055153729394e-15 
   77       2.741533112696e-10       5.697692255255e-14      -1.222066885488e-12       0.000000000000e+00       1.967700655946e-11       2.403888385988e-12      -8.849634059777e-15 
   78       2.776528982886e-10       5.892893034365e-14      -1.293235033690e-12       0.000000000000e+00       1.906879700975e-11       2.341492027914e-12      -8.657549583876e-15 
   79       2.811837632510e-10       6.090102189595e-14      -1.365746610132e-12       0.000000000000e+00       1.848426049563e-11       2.281353876957e-12      -8.488310480869e-15 
   80       2.847450995849e-10       6.289157086482e-14      -1.439538823366e-12       0.000000000000e+00       1.792076861231e-11       2.223175416687e-12      -8.349886626574e-15 
   81       2.883375613678e-10       6.489909509106e-14      -1.514567946934e-12       0.000000000000e+00       1.737796403144e-11       2.166926170496e-12      -8.241652966904e-15 
   82       2.919620136312e-10       6.692211288324e-14      -1.590794424709e-12       0.000000000000e+00       1.685590023606e-11       2.112628116606e-12      -8.160337894293e-15 
   83       2.956190767056e-10       6.895909152090e-14      -1.668177565003e-12       0.000000000000e+00       1.635436915500e-11       2.060277888340e-12      -8.102137713282e-15 
   84       2.993091123194e-10       7.100844706351e-14      -1.746675569279e-12       0.000000000000e+00       1.587288967080e-11       2.009845629578e-12      -8.062698155710e-15 
   85       3.030322096982e-10       7.306854415947e-14      -1.826245560859e-12       0.000000000000e+00       1.541069612768e-11       1.961273850212e-12      -8.037095895902e-15 
   86       3.067881716634e-10       7.513769585513e-14      -1.906843613635e-12       0.000000000000e+00       1.496672683941e-11       1.914476281601e-12      -8.019820065862e-15 
   87       3.105765007316e-10       7.721416340377e-14      -1.988424780780e-12       0.000000000000e+00       1.453961259731e-11       1.869336732027e-12      -8.004753770462e-15 
   88       3.143963852133e-10       7.929615607462e-14      -2.070943123452e-12       0.000000000000e+00       1.412766517813e-11       1.825707942150e-12      -7.985155602632e-15 
   89       3.182470111939e-10       8.138185562530e-14      -2.154350229534e-12       0.000000000000e+00       1.372927937997e-11       1.783447865332e-12      -7.955106609984e-15 
   90       3.221285848636e-10       8.346949453507e-14      -2.238590440949e-12       0.000000000000e+00       1.334423645616e-11       1.742537525758e-12      -7.914151616233e-15 
   91       3.260414456925e-10       8.555728974901e-14      -2.323604927078e-12       0.000000000000e+00       1.297258492585e-11       1.702979625708e-12      -7.863355302451e-15 
   92       3.299857459325e-10       8.764341928307e-14      -2.409333134086e-12       0.000000000000e+00       1.261424002494e-11       1.664762190803e-12      -7.803904990412e-15 
   93       3.339614415978e-10       8.972602240257e-14      -2.495712791017e-12       0.000000000000e+00       1.226897840918e-11       1.627857986127e-12      -7.737114112121e-15 
