# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.891221767618e-01       2.195521444245e+03 
       1.923280449337e-01       2.147521713527e+03 
       1.955339160768e-01       2.095178442988e+03 
       1.987397900450e-01       2.038329746893e+03 
       2.019456667016e-01       1.977477745797e+03 
       2.051515459192e-01       1.913900485159e+03 
       2.083574275783e-01       1.849125685592e+03 
       2.115633115669e-01       1.784746174711e+03 
       2.147691977799e-01       1.722342720492e+03 
       2.179750861182e-01       1.663158695785e+03 
       2.211809764887e-01       1.608056588440e+03 
       2.243868688038e-01       1.557873838077e+03 
       2.275927629806e-01       1.512675669295e+03 
       2.307986589410e-01       1.472636708776e+03 
       2.340045566112e-01       1.437279680634e+03 
       2.372104559214e-01       1.406071983748e+03 
       2.404163568055e-01       1.378155469217e+03 
       2.436222592011e-01       1.352611848085e+03 
       2.468281630489e-01       1.328365513227e+03 
       2.500340682926e-01       1.304691961140e+03 
       2.532399748788e-01       1.280653234046e+03 
       2.564458827570e-01       1.255827714568e+03 
       2.596517918790e-01       1.229992820625e+03 
       2.628577021989e-01       1.202983605507e+03 
       2.660636136733e-01       1.174920683470e+03 
       2.692695262607e-01       1.146062593087e+03 
       2.724754399214e-01       1.116787903431e+03 
       2.756813546180e-01       1.087602540980e+03 
       2.788872703143e-01       1.058998057477e+03 
       2.820931869763e-01       1.031416791431e+03 
       2.852991045711e-01       1.005263920623e+03 
       2.885050230674e-01       9.808116681951e+02 
       2.917109424354e-01       9.581602852494e+02 
       2.949168626466e-01       9.373448632888e+02 
       2.981227836734e-01       9.181941599165e+02 
       3.013287054899e-01       9.005404801318e+02 
       3.045346280708e-01       8.840912348187e+02 
       3.077405513923e-01       8.686043301334e+02 
       3.109464754312e-01       8.537617839873e+02 
       3.141524001655e-01       8.392733336039e+02 
       3.173583255741e-01       8.250018605428e+02 
       3.205642516365e-01       8.106392008384e+02 
       3.237701783333e-01       7.960576240406e+02 
       3.269761056457e-01       7.812932784932e+02 
       3.301820335557e-01       7.662659555532e+02 
       3.333879620460e-01       7.510962642550e+02 
       3.365938910999e-01       7.359069091370e+02 
       3.397998207014e-01       7.208388845704e+02 
       3.430057508351e-01       7.060034976075e+02 
       3.462116814860e-01       6.915837559691e+02 
       3.494176126400e-01       6.776638908794e+02 
       3.526235442832e-01       6.643196159888e+02 
       3.558294764024e-01       6.515891745547e+02 
       3.590354089846e-01       6.395424384018e+02 
       3.622413420177e-01       6.281296217595e+02 
       3.654472754897e-01       6.173230112357e+02 
       3.686532093890e-01       6.070652920328e+02 
       3.718591437046e-01       5.972261225100e+02 
       3.750650784257e-01       5.877260098467e+02 
       3.782710135420e-01       5.784169471755e+02 
       3.814769490436e-01       5.692902922621e+02 
       3.846828849206e-01       5.602821877225e+02 
       3.878888211638e-01       5.513016786143e+02 
       3.910947577642e-01       5.423955341546e+02 
       3.943006947129e-01       5.334928967824e+02 
       3.975066320015e-01       5.246322813518e+02 
       4.007125696219e-01       5.158408007919e+02 
       4.039185075661e-01       5.071229475542e+02 
       4.071244458264e-01       4.985433511486e+02 
       4.103303843954e-01       4.901354584355e+02 
       4.135363232658e-01       4.819581021398e+02 
