# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   51       1.939499825385e-10       1.707528127189e-14       4.972542275967e-14       1.055780839704e-16       5.090578844353e-11       5.542766284921e-12      -8.543336458847e-15 
   52       1.967130393643e-10       1.815768800658e-14       2.279740767984e-14       1.097772379354e-16       4.879147385233e-11       5.331707790647e-12      -8.455500718384e-15 
   53       1.994903761005e-10       1.927890536786e-14      -5.819074402551e-15       1.140590062306e-16       4.678480519168e-11       5.131065651661e-12      -8.549507768823e-15 
   54       2.022842171845e-10       2.043909141883e-14      -3.614891818178e-14       1.184233207305e-16       4.488356101951e-11       4.940821115716e-12      -8.816861005748e-15 
   55       2.050987441135e-10       2.163848525134e-14      -6.823246390272e-14       1.228701054974e-16       4.308706115880e-11       4.760972220351e-12      -9.211712379878e-15 
   56       2.079373564802e-10       2.287730598712e-14      -1.021129380806e-13       1.273992749426e-16       4.139130951135e-11       4.591190155091e-12      -9.679377240211e-15 
   57       2.108025946509e-10       2.415575299026e-14      -1.378366718191e-13       1.320107336868e-16       3.978878053246e-11       4.430797969463e-12      -1.015590653488e-14 
   58       2.136960624435e-10       2.547400607979e-14      -1.754533191289e-13       1.367043764199e-16       3.826820570575e-11       4.278749281006e-12      -1.056765901200e-14 
   59       2.166187388964e-10       2.683210836680e-14      -2.150016807467e-13       1.414800966881e-16       3.681767549318e-11       4.133912947079e-12      -1.084878960656e-14 
   60       2.195721737356e-10       2.822958251013e-14      -2.564628353655e-13       1.463378159538e-16       3.543527134792e-11       3.996052637502e-12      -1.099942882593e-14 
   61       2.225574333683e-10       2.966572556111e-14      -2.997964905836e-13       1.512774610494e-16       3.412052978398e-11       3.865037521572e-12      -1.104028228726e-14 
   62       2.255746733792e-10       3.113971481394e-14      -3.449541562717e-13       1.562989560032e-16       3.287124492305e-11       3.740545608664e-12      -1.099607835094e-14 
   63       2.286230743983e-10       3.265060403945e-14      -3.918788749420e-13       1.614022222023e-16       3.168336735830e-11       3.622052827895e-12      -1.089574764979e-14 
   64       2.317007779680e-10       3.419731971879e-14      -4.405049521173e-13       1.665871785557e-16       3.055090301807e-11       3.508822107791e-12      -1.077260261824e-14 
   65       2.348058031845e-10       3.577878121812e-14      -4.907721864639e-13       1.718537544586e-16       2.946756726495e-11       3.400104930165e-12      -1.065701817318e-14 
   66       2.379391663071e-10       3.739429935384e-14      -5.426726686246e-13       1.772019315114e-16       2.843238152331e-11       3.295820133770e-12      -1.055226882757e-14 
   67       2.411023091376e-10       3.904325575344e-14      -5.962134408632e-13       1.826317109536e-16       2.744508463238e-11       3.195999773177e-12      -1.045388010060e-14 
   68       2.442961405319e-10       4.072498606885e-14      -6.514030052710e-13       1.881431021524e-16       2.650443113174e-11       3.100584445732e-12      -1.035664615755e-14 
   69       2.475209997019e-10       4.243877967710e-14      -7.082514597244e-13       1.937361231234e-16       2.560813922262e-11       3.009418314560e-12      -1.025459958100e-14 
   70       2.507766195176e-10       4.418387938089e-14      -7.667706338414e-13       1.994108010522e-16       2.475283872904e-11       2.922244131566e-12      -1.014098114203e-14 
   71       2.540620898080e-10       4.595948110917e-14      -8.269742249386e-13       2.051671728145e-16       2.393401905910e-11       2.838698260431e-12      -1.000820957144e-14 
   72       2.573764422966e-10       4.776469485262e-14      -8.888686890499e-13       2.110052920633e-16       2.314718940678e-11       2.758408176567e-12      -9.850185059989e-15 
   73       2.607206169421e-10       4.959841945435e-14      -9.524235876394e-13       2.169252509053e-16       2.239173282178e-11       2.681317693608e-12      -9.669778823330e-15 
   74       2.640958084743e-10       5.145944313229e-14      -1.017595768136e-12       2.229271633463e-16       2.166770133034e-11       2.607415460565e-12      -9.472733223939e-15 
   75       2.675028560808e-10       5.334647895053e-14      -1.084338030702e-12       2.290111597528e-16       2.097464529552e-11       2.536635423716e-12      -9.265478082261e-15 
   76       2.709422209018e-10       5.525816363487e-14      -1.152599053121e-12       2.351773875230e-16       2.031158905508e-11       2.468854189263e-12      -9.055153729394e-15 
   77       2.744139635241e-10       5.719305638839e-14      -1.222323315677e-12       2.414260117579e-16       1.967700655946e-11       2.403888385988e-12      -8.849634059777e-15 
   78       2.779177214754e-10       5.914963770697e-14      -1.293451026049e-12       2.477572159318e-16       1.906879700975e-11       2.341492027914e-12      -8.657549583876e-15 
   79       2.814526867185e-10       6.112630819483e-14      -1.365918044186e-12       2.541712025630e-16       1.848426049563e-11       2.281353876957e-12      -8.488310480869e-15 
   80       2.850180480881e-10       6.312144122530e-14      -1.439661417803e-12       2.606681873692e-16       1.792076861231e-11       2.223175416687e-12      -8.349886626574e-15 
   81       2.886144565997e-10       6.513355406081e-14      -1.514637261186e-12       2.672483790881e-16       1.737796403144e-11       2.166926170496e-12      -8.241652966904e-15 
